k,k_err,d,d_err,cell_frac,cell_frac_err
0.11,0,0.16,0,0.000687013194327472,0.000246834158212785
0.14,0,0.23,0,0.00164232939215006,0.000315270859525615
0.12,0,0.15,0,0.00308187932859196,0.000676398186843459
0.15,0,0.28,0,0.00550117040406579,0.000973797944127419
0.1,0,0.12,0,0.00914669660199489,0.0016008139948272
0.14,0,0.21,0,0.0121981924713005,0.00259220627797603
0.12,0,0.14,0,0.0172693200570525,0.00369111341157138
0.14,0,0.2,0,0.0216007137911017,0.00498156787179325
0.14,0,0.19,0,0.020040069558164,0.00296843098038843
0.14,0,0.18,0,0.020317679790672,0.00275237513821467
0.16,0,0.26,0,0.0140949491387896,0.00311224161184624
0.14,0,0.22,0,0.0109980817452137,0.00311636839385954
0.15,0,0.22,0,0.00586236041517743,0.0032710672122466
0.19,0,0.28,0,0.00362703301211964,0.0022077363414199
NaN,NaN,NaN,NaN,0.00176894667650607,0.00161985247523482
