Sample,Freq,CD21,CD93,MHCII
ImmTransMarg_0hr_r1_m0, 24.2, 0.417, 20.1, 35.8
ImmTransMarg_0hr_r2_m0, 24.4, 0.475, 12.6, 37.1
ImmTransMarg_0hr_r3_m0, 23.9, 0.59, 20.1, 73.6
ImmTransMarg_0hr_r4_m0, 17.3, 0.653, 6.11, 39.4
ImmTransMarg_1hr_r1_m1, 21.3, 0.477, 14.5, 40.2
ImmTransMarg_1hr_r2_m31, 19.4, 0.724, 4.32, 52.9
ImmTransMarg_1hr_r3_m46, 10.1, 1.28, 1.42, 59.7
ImmTransMarg_12hr_r1_m2, 16.2, 0.643, 10.9, 39.1
ImmTransMarg_12hr_r2_m16, 21.6, 0.416, 10.7, 39.1
ImmTransMarg_12hr_r3_m47, 4.66, 1.3, 0.82, 28.4
ImmTransMarg_24hr_r1_m3, 20.6, 0.457, 13.1, 40.2
ImmTransMarg_24hr_r2_m17, 18.7, 0.411, 8.35, 38
ImmTransMarg_24hr_r3_m32, 17.8, 0.783, 2.64, 49.9
ImmTransMarg_36hr_r1_m18, 21.3, 0.538, 5.92, 33.8
ImmTransMarg_36hr_r2_m33, 18.2, 0.629, 4.33, 31.8
ImmTransMarg_36hr_r3_m48, 8.44, 1.17, 2.33, 40.3
ImmTransMarg_48hr_r1_m4, 19.7, 0.424, 12.9, 37.4
ImmTransMarg_48hr_r2_m34, 16.8, 0.755, 1.72, 27.7
ImmTransMarg_48hr_r3_m49, 7.03, 0.913, 1.83, 47.1
ImmTransMarg_60hr_r1_m5, 16.9, 0.496, 15.2, 29.9
ImmTransMarg_60hr_r2_m19, 17.7, 0.451, 7.87, 33.2
ImmTransMarg_60hr_r3_m50, 4.75, 1.03, 1.7, 27.6
ImmTransMarg_72hr_r1_m6, 20.9, 0.472, 12.7, 37.1
ImmTransMarg_72hr_r2_m20, 15.7, 0.85, 4.22, 31.8
ImmTransMarg_72hr_r3_m35, 16.5, 0.991, 1.99, 30.7
ImmTransMarg_84hr_r1_m21, 18.2, 0.39, 8.59, 33.6
ImmTransMarg_84hr_r2_m36, 19.1, 0.587, 4.29, 37.9
ImmTransMarg_84hr_r3_m51, 3.19, 1.78, 1.6, 16.7
ImmTransMarg_96hr_r1_m7, 19.7, 0.519, 10.4, 32
ImmTransMarg_96hr_r2_m37, 19.6, 0.535, 3.85, 35.7
ImmTransMarg_96hr_r3_m52, 6.47, 0.982, 0.949, 24.2
ImmTransMarg_108hr_r1_m8, 17.1, 0.354, 11.3, 36.7
ImmTransMarg_108hr_r2_m22, 17.4, 0.459, 6.9, 33
ImmTransMarg_108hr_r3_m53, 12.5, 0.844, 2.02, 41.6
ImmTransMarg_120hr_r1_m9, 19.4, 0.474, 11.2, 38.2
ImmTransMarg_120hr_r2_m23, 16.1, 0.325, 7.68, 36.5
ImmTransMarg_120hr_r3_m38, 17.3, 0.744, 2.89, 45.7
ImmTransMarg_132hr_r1_m24, 19.6, 0.422, 7.28, 38
ImmTransMarg_132hr_r2_m39, 18.9, 0.787, 3.84, 46.1
ImmTransMarg_132hr_r3_m54, 0.234, 0.517, 0.628, 60
ImmTransMarg_144hr_r1_m10, 18.5, 0.389, 11.7, 36.7
ImmTransMarg_144hr_r2_m40, 17.4, 0.975, 2.88, 44.3
ImmTransMarg_144hr_r3_m55, 5.05, 0.783, 1.65, 26.3
ImmTransMarg_156hr_r1_m11, 13.9, 0.563, 8.26, 34.1
ImmTransMarg_156hr_r2_m25, 14.5, 0.363, 7.77, 35.8
ImmTransMarg_156hr_r3_m56, 2.44, 1.26, 0.696, 29.8
ImmTransMarg_168hr_r1_m12, 9.92, 0.428, 7.14, 42.8
ImmTransMarg_168hr_r2_m26, 12.6, 0.687, 6.86, 34.9
ImmTransMarg_168hr_r3_m41, 16.1, 1.03, 4.15, 47.4
ImmTransMarg_180hr_r1_m27, 14.4, 0.442, 6.16, 27.9
ImmTransMarg_180hr_r2_m42, 19.8, 1.4, 3.75, 40.9
ImmTransMarg_180hr_r3_m57, 3.79, 0.976, 0.78, 31.2
ImmTransMarg_192hr_r1_m13, 13.4, 0.621, 8.22, 28.9
ImmTransMarg_192hr_r2_m43, 16.8, 0.596, 4.11, 37.6
ImmTransMarg_192hr_r3_m58, 4.04, 1.04, 0.636, 19.2
ImmTransMarg_204hr_r1_m14, 13.2, 0.507, 7.53, 26.8
ImmTransMarg_204hr_r2_m28, 14.4, 0.595, 4.53, 28.3
ImmTransMarg_204hr_r3_m59, 0.277, 3.04, 0.448, 31
ImmTransMarg_216hr_r1_m15, 15.8, 0.458, 7.8, 27.6
ImmTransMarg_216hr_r2_m29, 13.2, 0.637, 4.6, 32.9
ImmTransMarg_216hr_r3_m44, 17.4, 0.434, 6.4, 36.8
ImmTransMarg_228hr_r1_m30, 16.6, 0.507, 4.25, 27.1
ImmTransMarg_228hr_r2_m45, 18.8, 1.48, 2.57, 35.1
ImmTransMarg_228hr_r3_m60, 1.04, 1.56, 0.457, 32.8
