Sample,Freq,Ly6G,CD11b,MHCII
Ly6G+_0hr_r1_m0, 24, 147, 106, 1.32
Ly6G+_0hr_r2_m0, 29.6, 150, 88.5, 0.854
Ly6G+_0hr_r3_m0, 30.6, 95, 124, 1.99
Ly6G+_0hr_r4_m0, 7.61, 77.4, 56.8, 3.83
Ly6G+_1hr_r1_m1, 24.3, 129, 95.1, 0.96
Ly6G+_1hr_r2_m31, 26.3, 89.8, 56.3, 1.51
Ly6G+_1hr_r3_m46, 6.18, 66.8, 30.8, 5.05
Ly6G+_12hr_r1_m2, 25.8, 123, 79.3, 1.63
Ly6G+_12hr_r2_m16, 27, 138, 101, 1.24
Ly6G+_12hr_r3_m47, 4.72, 45.4, 26.1, 1.71
Ly6G+_24hr_r1_m3, 28.8, 118, 81.8, 0.982
Ly6G+_24hr_r2_m17, 27.5, 121, 81.6, 1.22
Ly6G+_24hr_r3_m32, 26.2, 67, 45.6, 1.55
Ly6G+_36hr_r1_m18, 24.4, 99.9, 66.5, 1.23
Ly6G+_36hr_r2_m33, 27.7, 75.8, 38.7, 0.928
Ly6G+_36hr_r3_m48, 5.77, 63.1, 24.6, 3.63
Ly6G+_48hr_r1_m4, 24.4, 103, 66.1, 1.12
Ly6G+_48hr_r2_m34, 31.9, 70.3, 34.3, 1.22
Ly6G+_48hr_r3_m49, 5.01, 52.2, 17.8, 2.99
Ly6G+_60hr_r1_m5, 28.4, 116, 67.1, 0.817
Ly6G+_60hr_r2_m19, 24.6, 125, 89.2, 1.04
Ly6G+_60hr_r3_m50, 4.49, 45.9, 24.9, 2.49
Ly6G+_72hr_r1_m6, 27.7, 108, 62, 1.83
Ly6G+_72hr_r2_m20, 28.5, 112, 60.9, 1.47
Ly6G+_72hr_r3_m35, 27.6, 71.5, 37.9, 1.2
Ly6G+_84hr_r1_m21, 27.9, 114, 72.8, 0.881
Ly6G+_84hr_r2_m36, 29, 77.6, 53.8, 1.26
Ly6G+_84hr_r3_m51, 2.56, 37.6, 18.7, 0.796
Ly6G+_96hr_r1_m7, 27.2, 107, 68.4, 1.04
Ly6G+_96hr_r2_m37, 35.6, 68.7, 50.6, 1.33
Ly6G+_96hr_r3_m52, 6.29, 46.1, 23.5, 0.836
Ly6G+_108hr_r1_m8, 25.7, 109, 70.2, 1.12
Ly6G+_108hr_r2_m22, 27.6, 111, 75.3, 1.18
Ly6G+_108hr_r3_m53, 4.81, 53.9, 19.8, 2.81
Ly6G+_120hr_r1_m9, 26.6, 106, 66.8, 0.997
Ly6G+_120hr_r2_m23, 27.4, 97.8, 68.2, 1.82
Ly6G+_120hr_r3_m38, 37.5, 67, 46.1, 1.53
Ly6G+_132hr_r1_m24, 28.8, 113, 72.5, 1.03
Ly6G+_132hr_r2_m39, 31.7, 67.5, 50.8, 1.63
Ly6G+_132hr_r3_m54, 0.0884, 29.6, 7.54, 1.25
Ly6G+_144hr_r1_m10, 32, 103, 61.8, 1.08
Ly6G+_144hr_r2_m40, 40.1, 52.6, 36, 1.81
Ly6G+_144hr_r3_m55, 3.85, 54.9, 11.2, 0.941
Ly6G+_156hr_r1_m11, 23.8, 92.4, 58.6, 1.9
Ly6G+_156hr_r2_m25, 26.7, 102, 64.8, 1.98
Ly6G+_156hr_r3_m56, 1.95, 39.6, 12.1, 1.57
Ly6G+_168hr_r1_m12, 31.2, 80.4, 43.8, 1.35
Ly6G+_168hr_r2_m26, 29.2, 87.5, 58.6, 1.48
Ly6G+_168hr_r3_m41, 36.9, 62.6, 38.7, 1.15
Ly6G+_180hr_r1_m27, 24.7, 92.4, 58.9, 1.06
Ly6G+_180hr_r2_m42, 28, 50.8, 37.9, 1.32
Ly6G+_180hr_r3_m57, 3.74, 46.3, 12, 1.46
Ly6G+_192hr_r1_m13, 27.7, 87, 69.2, 1.14
Ly6G+_192hr_r2_m43, 27.8, 49.8, 38.7, 1.39
Ly6G+_192hr_r3_m58, 2.51, 39.5, 9.15, 0.724
Ly6G+_204hr_r1_m14, 29.2, 85.8, 68.4, 1.21
Ly6G+_204hr_r2_m28, 26.9, 98.3, 59.9, 1.11
Ly6G+_204hr_r3_m59, 0.263, 28.4, 7.99, 0.793
Ly6G+_216hr_r1_m15, 27.1, 96.7, 69.4, 0.874
Ly6G+_216hr_r2_m29, 25, 84.2, 52.8, 1.53
Ly6G+_216hr_r3_m44, 24.1, 41, 40.5, 2.42
Ly6G+_228hr_r1_m30, 25.3, 90.6, 67.6, 1.01
Ly6G+_228hr_r2_m45, 31.7, 42.3, 43.1, 1.89
Ly6G+_228hr_r3_m60, 1.33, 30.2, 13.8, 0.512
