Sample,Freq,IgM,CD43,MHCII
PreToImmatureB_0hr_r1_m0, 82.1, 5.32, 16.5, 17.8
PreToImmatureB_0hr_r2_m0, 74.4, 5.22, 18.8, 15.7
PreToImmatureB_0hr_r3_m0, 67.3, 6.31, 30.9, 37.5
PreToImmatureB_0hr_r4_m0, 75.7, 2.84, 21.8, 16.3
PreToImmatureB_1hr_r1_m1, 75.6, 3.47, 13.4, 17.4
PreToImmatureB_1hr_r2_m31, 57.7, 3.54, 21.3, 21.4
PreToImmatureB_1hr_r3_m46, 48.9, 1.99, 16.6, 14.1
PreToImmatureB_12hr_r1_m2, 41.1, 3.81, 11.5, 15.8
PreToImmatureB_12hr_r2_m16, 72.7, 3.43, 14, 21
PreToImmatureB_12hr_r3_m47, 65.4, 1.3, 6.93, 4.27
PreToImmatureB_24hr_r1_m3, 70.3, 4.88, 10.1, 17.2
PreToImmatureB_24hr_r2_m17, 71.9, 4.15, 13.8, 18
PreToImmatureB_24hr_r3_m32, 40.8, 7.78, 15.9, 16.6
PreToImmatureB_36hr_r1_m18, 55, 3.91, 10.8, 15.1
PreToImmatureB_36hr_r2_m33, 58.4, 3.15, 15.6, 11.9
PreToImmatureB_36hr_r3_m48, 46.3, 1.79, 14.4, 9.42
PreToImmatureB_48hr_r1_m4, 79.4, 4.34, 8.32, 16.4
PreToImmatureB_48hr_r2_m34, 46.5, 3.34, 16.9, 9.09
PreToImmatureB_48hr_r3_m49, 64.9, 1.44, 12.9, 8.38
PreToImmatureB_60hr_r1_m5, 61.4, 3.21, 10.2, 12.4
PreToImmatureB_60hr_r2_m19, 72, 2.75, 12.4, 12.7
PreToImmatureB_60hr_r3_m50, 56.1, 1.41, 8.93, 4.9
PreToImmatureB_72hr_r1_m6, 69.1, 4.9, 8.27, 17.9
PreToImmatureB_72hr_r2_m20, 42, 3.39, 11.6, 11.3
PreToImmatureB_72hr_r3_m35, 35.2, 5.47, 18.5, 10.6
PreToImmatureB_84hr_r1_m21, 80.7, 2.69, 12.1, 13.2
PreToImmatureB_84hr_r2_m36, 64.9, 3.45, 25.1, 15.9
PreToImmatureB_84hr_r3_m51, 79.3, 1.1, 3.92, 1.91
PreToImmatureB_96hr_r1_m7, 62, 3.44, 9.56, 12.3
PreToImmatureB_96hr_r2_m37, 66.2, 4.75, 29.4, 14.5
PreToImmatureB_96hr_r3_m52, 55.9, 1.34, 6.83, 3.54
PreToImmatureB_108hr_r1_m8, 83.9, 3.57, 7.5, 16
PreToImmatureB_108hr_r2_m22, 65.9, 4.05, 13.3, 12.3
PreToImmatureB_108hr_r3_m53, 66.7, 2.66, 13.5, 9.56
PreToImmatureB_120hr_r1_m9, 64, 3.47, 10.4, 16
PreToImmatureB_120hr_r2_m23, 84.5, 2.48, 11.9, 17.4
PreToImmatureB_120hr_r3_m38, 44.6, 6.89, 29.8, 15.4
PreToImmatureB_132hr_r1_m24, 73, 4.28, 11.3, 18
PreToImmatureB_132hr_r2_m39, 48, 3.95, 30.2, 16.3
PreToImmatureB_132hr_r3_m54, 95.5, 0.344, 2.25, 1.53
PreToImmatureB_144hr_r1_m10, 66.4, 3.25, 10.1, 14.8
PreToImmatureB_144hr_r2_m40, 45.9, 4.86, 34.6, 13.1
PreToImmatureB_144hr_r3_m55, 67, 1.05, 9.01, 2.83
PreToImmatureB_156hr_r1_m11, 62.2, 4.99, 7.09, 13.4
PreToImmatureB_156hr_r2_m25, 83.2, 2.28, 11.8, 15.8
PreToImmatureB_156hr_r3_m56, 65.5, 0.754, 3.86, 4.23
PreToImmatureB_168hr_r1_m12, 77.9, 2.36, 7.63, 10.2
PreToImmatureB_168hr_r2_m26, 67.9, 2.07, 9.99, 10.5
PreToImmatureB_168hr_r3_m41, 54.7, 3.14, 80.1, 10.2
PreToImmatureB_180hr_r1_m27, 79.8, 2.3, 9.6, 10.6
PreToImmatureB_180hr_r2_m42, 67.2, 6.58, 38.4, 13.9
PreToImmatureB_180hr_r3_m57, 63.8, 1.02, 11.2, 2.61
PreToImmatureB_192hr_r1_m13, 50.8, 2.74, 6.05, 8.81
PreToImmatureB_192hr_r2_m43, 70.1, 2.92, 35.3, 13.5
PreToImmatureB_192hr_r3_m58, 70.7, 0.973, 5.44, 2.61
PreToImmatureB_204hr_r1_m14, 59.4, 3.75, 7.56, 10.1
PreToImmatureB_204hr_r2_m28, 62.8, 2.43, 10.4, 10.2
PreToImmatureB_204hr_r3_m59, 89.1, 0.289, 2.94, 1.36
PreToImmatureB_216hr_r1_m15, 62.4, 3.81, 5.98, 10.1
PreToImmatureB_216hr_r2_m29, 66.1, 3.18, 10, 10.6
PreToImmatureB_216hr_r3_m44, 75.8, 3.17, 35.5, 15.7
PreToImmatureB_228hr_r1_m30, 71.8, 3.58, 10.7, 11.2
PreToImmatureB_228hr_r2_m45, 54.8, 6.47, 35.7, 11.9
PreToImmatureB_228hr_r3_m60, 75.4, 0.686, 2.85, 1.52
